title,year,certificate,duration,genre,rating,votes
Cobra Kai,(2018– ),TV-14,30 min,"Action, Comedy, Drama",8.5,177031
The Crown,(2016– ),TV-MA,58 min,"Biography, Drama, History",8.7,199885
Better Call Saul,(2015–2022),TV-MA,46 min,"Crime, Drama",8.9,501384
Devil in Ohio,(2022),TV-MA,356 min,"Drama, Horror, Mystery",5.9,9773
Cyberpunk: Edgerunners,(2022– ),TV-MA,24 min,"Animation, Action, Adventure",8.6,15413
The Sandman,(2022– ),TV-MA,45 min,"Drama, Fantasy, Horror",7.8,116358
Rick and Morty,(2013– ),TV-MA,23 min,"Animation, Adventure, Comedy",9.2,502160
Breaking Bad,(2008–2013),TV-MA,49 min,"Crime, Drama, Thriller",9.5,1831340
The Imperfects,(2022– ),TV-MA,45 min,"Action, Adventure, Drama",6.3,3123
Blonde,(2022),NC-17,166 min,"Biography, Drama, Mystery",6.2,935
Stranger Things,(2016– ),TV-14,51 min,"Drama, Fantasy, Horror",8.7,1149889
End of the Road,(II) (2022),R,89 min,"Action, Crime, Drama",4.7,5122
The Walking Dead,(2010–2022),TV-MA,44 min,"Drama, Horror, Thriller",8.1,970060
Glass Onion: A Knives Out Mystery,(2022),PG-13,139 min,"Crime, Drama, Mystery",8.1,547
Do Revenge,(2022),TV-MA,118 min,Comedy,6.4,13457
I Came By,(2022),TV-MA,110 min,Thriller,6.1,16230
No Limit,(2022),TV-MA,118 min,"Drama, Romance, Sport",5.8,1695
1899,(2022– ),Unknown,60 min,"Drama, History, Horror",9.6,853
Peaky Blinders,(2013–2022),TV-MA,60 min,"Crime, Drama",8.8,531058
Fate: The Winx Saga,(2021– ),TV-MA,0,"Action, Adventure, Drama",6.9,43179
The Lord of the Rings: The Fellowship of the Ring,(2001),PG-13,178 min,"Action, Adventure, Drama",8.8,1844055
Grey's Anatomy,(2005– ),TV-14,41 min,"Drama, Romance",7.6,303617
Supernatural,(2005–2020),TV-14,44 min,"Drama, Fantasy, Horror",8.4,439597
American Horror Story,(2011– ),TV-MA,60 min,"Drama, Horror, Sci-Fi",8.0,312970
The Accidental Narco,(2022– ),TV-MA,50 min,"Action, Biography, Crime",7.4,2056
NCIS,(2003– ),TV-14,60 min,"Action, Crime, Drama",7.8,145895
Friends,(1994–2004),TV-14,22 min,"Comedy, Romance",8.9,979424
Shameless,(2011–2021),TV-MA,46 min,"Comedy, Drama",8.6,239541
Modern Family,(2009–2020),TV-PG,22 min,"Comedy, Drama, Romance",8.5,423963
Ozark,(2017–2022),TV-MA,60 min,"Crime, Drama, Thriller",8.5,309552
Echoes,(2022),TV-MA,326 min,"Drama, Mystery, Thriller",5.9,9380
The Gray Man,(2022),PG-13,122 min,"Action, Thriller",6.5,172136
Me Time,(2022),R,101 min,Comedy,5.0,26092
Suits,(2011–2019),TV-14,44 min,"Comedy, Drama",8.5,405863
Vikings,(2013–2020),TV-MA,44 min,"Action, Adventure, Drama",8.5,524630
The Witcher,(2019– ),TV-MA,60 min,"Action, Adventure, Drama",8.2,481837
The Blacklist,(2013– ),TV-14,43 min,"Crime, Drama, Mystery",8.0,245591
Seinfeld,(1989–1998),TV-PG,22 min,Comedy,8.9,314089
Lucifer,(2016–2021),TV-14,42 min,"Crime, Drama, Fantasy",8.1,318928
The Umbrella Academy,(2019–2023),TV-14,60 min,"Action, Adventure, Comedy",7.9,243344
The Last Kingdom,(2015–2022),TV-MA,60 min,"Action, Drama, History",8.5,136936
Partner Track,(2022– ),TV-MA,60 min,Drama,6.8,3840
Love in the Villa,(2022),TV-14,114 min,"Comedy, Romance",5.3,7048
Black Mirror,(2011–2019),TV-MA,60 min,"Drama, Mystery, Sci-Fi",8.8,535782
Brooklyn Nine-Nine,(2013–2021),TV-14,22 min,"Comedy, Crime",8.4,309004
Squid Game,(2021– ),TV-MA,55 min,"Action, Drama, Mystery",8.0,435160
Gilmore Girls,(2000–2007),TV-PG,44 min,"Comedy, Drama",8.2,124087
Outlander,(2014– ),TV-MA,60 min,"Drama, Fantasy, Romance",8.4,158268
Ófærð,(2015– ),TV-14,60 min,"Crime, Drama, Mystery",8.0,21641
Never Have I Ever,(2020–2023),TV-14,30 min,"Comedy, Drama",7.9,56216
Attack on Titan,(2013–2023),TV-MA,24 min,"Animation, Action, Adventure",9.0,363297
Manifest,(2018– ),TV-14,43 min,"Drama, Mystery, Sci-Fi",7.1,59167
Locke & Key,(2020–2022),TV-14,48 min,"Drama, Fantasy, Horror",7.3,84847
Day Shift,(2022),R,113 min,"Action, Comedy, Fantasy",6.1,62931
Dark,(2017–2020),TV-MA,60 min,"Crime, Drama, Mystery",8.7,371981
Guillermo del Toro's Pinocchio,(II) (2022),Unknown,114 min,"Animation, Drama, Family",0.0,0
Sex Education,(2019– ),TV-MA,45 min,"Comedy, Drama",8.4,273671
The Lord of the Rings: The Return of the King,(2003),PG-13,201 min,"Action, Adventure, Drama",9.0,1819157
The Vampire Diaries,(2009–2017),TV-14,43 min,"Drama, Fantasy, Horror",7.7,318383
Virgin River,(2019– ),TV-14,44 min,"Drama, Romance",7.4,41276
Family Guy,(1999– ),TV-MA,22 min,"Animation, Comedy",8.2,334757
Fargo,(2014– ),TV-MA,53 min,"Crime, Drama, Thriller",8.9,369918
Animal Kingdom,(2016–2022),TV-MA,60 min,"Crime, Drama",8.2,37944
Diario de un Gigoló,(2022),TV-MA,50 min,Drama,6.3,538
How I Met Your Mother,(2005–2014),TV-14,22 min,"Comedy, Romance",8.3,676121
The School for Good and Evil,(2022),PG-13,147 min,"Action, Drama, Fantasy",0.0,0
Heartbreak High,(2022– ),TV-MA,50 min,"Drama, Romance",7.6,1502
Wednesday,(2022– ),Unknown,0,"Comedy, Family, Fantasy",0.0,0
Community,(2009–2015),TV-14,22 min,Comedy,8.5,261138
Daredevil,(2015–2018),TV-MA,54 min,"Action, Crime, Drama",8.6,434141
Blue Bloods,(2010– ),TV-14,43 min,"Crime, Drama, Mystery",7.7,40037
Bee and PuppyCat,(2013– ),TV-PG,7 min,"Animation, Short, Action",8.2,2385
Loving Adults,(2022),TV-MA,104 min,"Crime, Drama, Thriller",6.5,5861
Schitt's Creek,(2015–2020),TV-14,22 min,Comedy,8.5,118638
Sing 2,(2021),PG,110 min,"Animation, Adventure, Comedy",7.4,65399
RRR,(2022),Not Rated,187 min,"Action, Drama",8.0,107203
Arcane,(2021– ),TV-14,41 min,"Animation, Action, Adventure",9.0,196697
The Lørenskog Disappearance,(2021),TV-MA,0,"Documentary, Crime",6.1,668
The Lord of the Rings: The Two Towers,(2002),PG-13,179 min,"Action, Adventure, Drama",8.8,1642708
All Quiet on the Western Front,(2022),R,147 min,"Action, Drama, War",8.3,199
Mr. Harrigan's Phone,(2022),PG-13,104 min,Horror,0.0,0
American Psycho,(2000),R,102 min,"Crime, Drama, Horror",7.6,598117
